Alpha,Cl,Cd
-65.0,-0.2692273593208618,0.8636556310173396
-64.0,-0.27916480491722095,0.8516678523417369
-63.0,-0.2889690410016828,0.8392916761201912
-62.0,-0.29863576333253494,0.8265436080139623
-61.0,-0.3081613009937127,0.813440594141236
-60.0,-0.3175426480542942,0.7999999999999999
-59.0,-0.3267774971603217,0.7862395888839508
-58.0,-0.33586427533088414,0.7721774998178594
-57.0,-0.344802182270885,0.757832225039403
-56.0,-0.353591231559809,0.7432225870550307
-55.0,-0.36223229513026534,0.728367715297939
-54.0,-0.37072715151351454,0.713287022416721
-53.0,-0.37907853840328226,0.6980001802237044
-52.0,-0.3872902101759703,0.6825270953323997
-51.0,-0.395367001107381,0.6668878845138635
-50.0,-0.4033148951463225,0.6511028498021191
-49.0,-0.41114110324767894,0.6351924533790835
-48.0,-0.4188541494362784,0.6191772922697126
-47.0,-0.42646396697383215,0.6030780728783125
-46.0,-0.43398200624133426,0.5869155853971503
-45.0,-0.4414213562373095,0.5707106781186548
-44.0,-0.4487968819390746,0.5544842316826146
-43.0,-0.4561253801933725,0.5382571332898544
-42.0,-0.46342575731163205,0.5220502509139127
-41.0,-0.47071923216553246,0.5058844075422444
-40.0,-0.478029569338437,0.48978035547843257
-39.0,-0.48538334782332415,0.47375875073681734
-38.0,-0.49281027191421606,0.45784012756083836
-37.0,-0.5003435323755827,0.4420448730962297
-36.0,-0.5080202277708674,0.42639320225002103
-35.0,-0.5158818580897829,0.4109051327660648
-34.0,-0.523974905670167,0.39560046054754827
-33.0,-0.5323515220451076,0.38049873525664235
-32.0,-0.5410703440030808,0.3656192362211038
-31.0,-0.5501974681577385,0.3509809486772658
-30.0,-0.5598076211353317,0.33660254037844384
-29.0,-0.5699855727231232,0.3225023385973371
-28.0,-0.5808278528472369,0.3086983075505193
-27.0,-0.5924448512816283,0.29520802627260023
-26.0,-0.604963403265173,0.2820486669670876
-25.0,-0.6185299972180531,0.26923697386039536
-24.0,-0.6333147861429058,0.256789242584831
-23.0,-0.6495166474532311,0.24472130011574542
-22.0,-0.6673696249653197,0.23304848528735317
-21.0,-0.6871512139236646,0.22178562991102307
-20.0,-0.7091931342734455,0.21094704051910182
-19.0,-0.7338955090577147,0.20054648075657072
-18.0,-0.7617457723127105,0.19059715444204162
-17.0,-0.7933442540633304,0.18111168931878274
